"kldb_tool_mit_anfniveau","isco_tool_mit_anfniveau","kldb_tool_vorlaufig","isco_tool_vorlaufig","kldb_infas_num","isco_infas_num","kldb_infas_str","isco_infas_str","res1_kldb","res2_kldb","res3_kldb","res1_isco","res2_isco","res3_isco","kldb_tool_1st","res1_kldb_1st","res2_kldb_1st","isco_tool_1st","res1_isco_1st","res2_isco_1st","item_id"
"71402","4110","71402","4110",71302,4110,"[71302] Kaufm.,techn.Betriebswirt.(oS)-Fachkraft","[4110] Allgemeine Bürokräfte","71302","71302",NA,"4110","4110",NA,7,7,7,4,4,4,1072
"54112","9112","54101","9112",54101,9112,"[54101] Reinigung (o.S.) - Helfer","[9112] Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen","54101","54101",NA,"9112","9112",NA,5,5,5,9,9,9,1073
"NA","NA","NA","NA",71314,2421,"[71314] Unternehmensorganisation,planung-Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","71314","71314",NA,"2421","2421",NA,NA,7,7,NA,2,2,1074
"41312","8131","41312","8131",41312,8131,"[41312] Chemie- und Pharmatechnik - Fachkraft","[8131] Bediener von Anlagen und Maschinen für chemische Erzeugnisse","41312","41312",NA,"8131","8131",NA,4,4,4,8,8,8,1075
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","26313","3522",25132,7422,"[25132] Tech.Servicekr.Wartung,Instand-Fachkraft","[7422] Installateure und Servicetechniker im Bereich Informations- und Kommunikationstechnik","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,1076
"63301","9412","63301","9412",63301,9412,"[63301] Gastronomieservice (o.S.) - Helfer","[9412] Küchenhilfen","29301, 63301","63301, 29301",63301,"9412","9412",NA,6,2,6,9,9,9,1077
"NA","NA","NA","NA",27302,3119,"[27302] Tech.Produktionspl.,-steuerung-Fachkraft","[3119] Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt","25102","25102",NA,"7233","7233",NA,NA,2,2,NA,7,7,1078
"24522","7222","24522","7222",24522,7222,"[24522] Werkzeugtechnik - Fachkraft","[7222] Werkzeugmechaniker und verwandte Berufe","24522, 24593","24522",24593,"7222","7223",7223,2,2,2,7,7,7,1079
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4322",61122,4311,"[61122] Vertrieb (ausser IKT) - Fachkraft","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","71302","71302",NA,"4311, 3322","3323",4311,NA,7,7,NA,4,3,1080
"62302","5223","62302","5223",62102,5223,"[62102] Verkauf (ohne Produktspezial.)-Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62102","62102",NA,"5223","5223",NA,6,6,6,5,5,5,1081
"NA","NA","NA","NA",84404,2320,"[84404] Erwachsenenbildung (o.S.) - Experte","[2320] Lehrkräfte im Bereich Berufsbildung","84404","84404",NA,"2320","2320",NA,NA,8,8,NA,2,2,1082
"NA","NA","NA","NA",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,NA,7,7,NA,1,1,1083
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","83142","5322",81301,5321,"[81301] Gesundheits-, Krankenpflege (oS)-Helfer","[5321] Pflegehelfer","81301","81301",NA,"5321","5321",NA,NA,8,8,NA,5,5,1084
"84134","2352","84134","2352",84134,2352,"[84134] Lehrkraefte an Sonderschulen - Experte","[2352] Lehrkräfte im Bereich Sonderpädagogik","84134","84134",NA,"2352","2352",NA,8,8,8,2,2,2,1085
"34102","5153","34102","5153",34102,5153,"[34102] Gebaeudetechnik (o.S.) - Fachkraft","[5153] Hauswarte","34102","34102",NA,"5153","5153",NA,3,3,3,5,5,5,1086
"91344","2120","91344","2120",91344,2431,"[91344] Markt-, Meinungsforschung - Experte","[2431] Akademische und vergleichbare Fachkräfte in Werbung und Marketing","","",NA,"","",NA,9,NA,NA,2,NA,NA,1087
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2300, 2330","2330",2330,8,8,8,2,2,2,1088
"63394","1412","63394","1412",63394,1412,"[63394] Fuehrung - Gastronomie","[1412] Führungskräfte in Restaurants","63394","63394",NA,"1412","1412",NA,6,6,6,1,1,1,1089
"84124","2330","84124","2330",84124,2300,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2300] Lehrkräfte","84124","84124",NA,"2300","2300",NA,8,8,8,2,2,2,1090
"NA","NA","NA","NA",61194,1221,"[61194] Fuehrung - Einkauf  und Vertrieb","[1221] Führungskräfte in Vertrieb und Marketing","61194","61194",NA,"1221","1221",NA,NA,6,6,NA,1,1,1091
"NA","NA","NA","NA",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,NA,8,8,NA,3,3,1092
"53214","1349","53214","5412",53213,5412,"[53213] Polizeivollzugsdienst - Spezialist","[5412] Polizisten (ohne Polizeikommissare)","","",NA,"","",NA,5,NA,NA,1,NA,NA,1093
"43112","","","2511",43102,3512,"[43102] Informatik (o.S.) - Fachkraft","[3512] Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie","43102","43102",NA,"3512","3512",NA,4,4,4,NA,3,3,1094
"71403","3343","71403","3343",73202,3350,"[73202] Oeffentliche Verwaltung(o.S.) - Fachkraft","[3350] Fachkräfte in der öffentlichen Verwaltung","71402","73212",73202,"3350","3350",NA,7,7,7,3,3,3,1095
"26212","7411","26212","7411",26212,7411,"[26212] Bauelektrik - Fachkraft","[7411] Bauelektriker und verwandte Berufe","26212","26212",NA,"7411","7411",NA,2,2,2,7,7,7,1096
"71402","4120","71402","4120",71402,3343,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","71402","71402",NA,"3343, 4120","4120",3343,7,7,7,4,3,4,1097
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2330","2330",NA,8,8,8,2,2,2,1098
"81302","3221","81313","3221",81393,2221,"[81393] Aufsicht-Krankenpfl.,Rettungsd.,Geburtsh","[2221] Akademische und vergleichbare Krankenpflegefachkräfte","81393","81393",NA,"2221","2221",NA,8,8,8,3,2,2,1099
"29201","8160","29201","8160",29232,8160,"[29232] Fleischverarbeitung - Fachkraft","[8160] Bediener von Maschinen zur Herstellung von Nahrungs- und Genussmitteln","29232","29232",NA,"7511","8160",8160,2,2,2,8,7,8,1100
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73213,3353,"[73213] Sozialverwaltung,versicherung-Spezialist","[3353] Fachkräfte in Sozialverwaltung und -versicherung","73183","73183",NA,"3411, 2619","2619",3353,NA,7,7,NA,3,2,1101
"NA","NA","NA","NA",83123,3412,"[83123] Sozialarbeit, Sozialpaedagogik-Spezialist","[3412] Nicht akademische sozialpflegerische Fachkräfte","83123","83123",NA,"3412, 2635","3412",3412,NA,8,8,NA,3,3,1102
"NA","NA","NA","NA",9,9,"[9] Keine Angabe","[9] keine Angabe","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,1103
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73213,3353,"[73213] Sozialverwaltung,versicherung-Spezialist","[3353] Fachkräfte in Sozialverwaltung und -versicherung","72133","72133",NA,"3321, 2412","2412",2411,NA,7,7,NA,3,2,1104
"NA","NA","NA","NA",72133,2412,"[72133] Versicherungskaufleute - Spezialist","[2412] Finanz- und Anlageberater","72133","72133",NA,"3321, 2412","2412",2412,NA,7,7,NA,3,2,1105
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2330","2330",NA,8,8,8,2,2,2,1106
"NA","NA","NA","NA",81494,1342,"[81494] Fuehrung - Human- und Zahnmedizin","[1342] Führungskräfte in der Erbringung von Dienstleistungen im Gesundheitswesen","81404","81404",NA,"2211","2211",NA,NA,8,8,NA,2,2,1107
"83154","Mehrere Matches, bitte manuell prüfen","83154","2635",83124,2635,"[83124] Sozialarbeit, Sozialpaedagogik - Experte","[2635] Sozialarbeiter","83124","83124",NA,"2635","2635",NA,8,8,8,NA,2,2,1108
"92114","2431","92113","2431",92113,2431,"[92113] Werbung und Marketing - Spezialist","[2431] Akademische und vergleichbare Fachkräfte in Werbung und Marketing","92113","92113",NA,"2431","2431",NA,9,9,9,2,2,2,1109
"NA","NA","NA","NA",9,9,"[9] Keine Angabe","[9] keine Angabe","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,1110
"54101","9111","54101","9111",54101,9111,"[54101] Reinigung (o.S.) - Helfer","[9111] Reinigungspersonal und Hilfskräfte in Privathaushalten","54101","54101",NA,"9111","9111",NA,5,5,5,9,9,9,1111
"NA","NA","NA","NA",27314,2141,"[27314] Technische Qualitaetssicherung - Experte","[2141] Wirtschafts- und Produktionsingenieure","27314","27314",NA,"2141","2141",NA,NA,2,2,NA,2,2,1112
"71403","3343","71403","3343",71403,3343,"[71403] Buero-,Sekretariatskraefte(oS) -Spezialist","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","71403","71403",NA,"3343","3343",NA,7,7,7,3,3,3,1113
"52182","8322","52182","8322",51322,4412,"[51322] Post- und Zustelldienste - Fachkraft","[4412] Postverteiler und -sortierer","51322","51322",NA,"9621","4412",4412,5,5,5,8,9,4,1114
"61314","3334","61312","3334",61312,3334,"[61312] Immobilienvermarktung,-verwal.-Fachkraft","[3334] Immobilienmakler und -verwalter","61313","61313",NA,"3334","3334",NA,6,6,6,3,3,3,1115
"NA","NA","NA","NA",9,9,"[9] Keine Angabe","[9] keine Angabe","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,1116
"NA","NA","NA","NA",71394,1213,"[71394] Fuehrung - Unternehmensorg., -strategie","[1213] Führungskräfte in Unternehmenspolitik und -planung","71394","71394",NA,"1210","1212",1213,NA,7,7,NA,1,1,1117
"84124","2330","84124","2330",84454,2353,"[84454] (Fremd-)Sprachenlehrer/innen - Experte","[2353] Sonstige Sprachlehrer","84124","84124",NA,"2300, 2330","2353",2353,8,8,8,2,2,2,1118
"81301","5321","81301","5321",81301,5320,"[81301] Gesundheits-, Krankenpflege (oS)-Helfer","[5320] Betreuungsberufe im Gesundheitswesen","81301","81301",NA,"3221","5322",5320,8,8,8,5,3,5,1119
"NA","NA","NA","NA",52112,8322,"[52112] Berufskraftfahrer(Pers./PKW.)-Fachkraft","[8322] Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer","52182","52182",NA,"8322","8322",NA,NA,5,5,NA,8,8,1120
"73234","2411","73232","3352",73233,3352,"[73233] Steuerverwaltung - Spezialist","[3352] Fachkräfte in der Steuerverwaltung","73233","73233",NA,"3352","3352",NA,7,7,7,2,3,3,1121
"71394","1213","71394","1213",43224,2511,"[43224] IT-Anwendungsberatung - Experte","[2511] Systemanalytiker","43224","43224",NA,"2511","2511",NA,7,4,4,1,2,2,1122
"NA","NA","NA","NA",33393,7115,"[33393] Aufsicht-Aus-,Trockenbau.Iso.Zimm.Glas.","[7115] Zimmerleute und Bautischler","33332","33332",NA,"7115","7115",NA,NA,3,3,NA,7,7,1123
"52531","8344","52531","8344",52532,8343,"[52532] Kranfuehr.BedienerHebeeinricht.-Fachkraft","[8343] Kranführer, Aufzugmaschinisten und Bediener verwandter Hebeeinrichtungen","51312","51312",NA,"4321","9333",9333,5,5,5,8,4,9,1124
"22212","7132","22212","7132",22202,7132,"[22202] Farb-, Lacktechnik (o.S.) - Fachkraft","[7132] Lackierer und verwandte Berufe","22202","22202",NA,"7132","7132",NA,2,2,2,7,7,7,1125
"84114","2341","84114","2341",84114,2341,"[84114] Lehrkraefte in der Primarstufe - Experte","[2341] Lehrkräfte im Primarbereich","84114","84114",NA,"2341","2341",NA,8,8,8,2,2,2,1126
"52112","8322","52112","8322",52182,8322,"[52182] FahrzeugfuehrerStrassenverk(ssT)-Fachkraft","[8322] Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer","52132","52182",82182,"3221, 5322","8322",8322,5,5,5,8,3,8,1127
"29302","5120","29302","5120",29302,5120,"[29302] Koeche/Koechinnen (o.S.) - Fachkraft","[5120] Köche","29302","29302",NA,"5120","5120",NA,2,2,2,5,5,5,1128
"63112","4221","63112","4221",63112,4221,"[63112] Tourismuskaufleute - Fachkraft","[4221] Reiseverkehrsfachkräfte","63112","63112",NA,"4221","4221",NA,6,6,6,4,4,4,1129
"29301","9412","29301","9412",29301,9412,"[29301] Koeche/Koechinnen (o.S.) - Helfer","[9412] Küchenhilfen","29301","29301",NA,"9412","9412",NA,2,2,2,9,9,9,1130
"61124","2433","61123","3322",61124,2433,"[61124] Vertrieb (ausser IKT) - Experte","[2433] Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)","61124","61124",NA,"2433","2433",NA,6,6,6,2,2,2,1131
"NA","NA","NA","NA",73282,3359,"[73282] Oeffentliche Verwaltung (ssT) - Fachkraft","[3359] Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt","73282","73282",NA,"4312","3354",3359,NA,7,7,NA,4,3,1132
"NA","NA","NA","NA",61122,4311,"[61122] Vertrieb (ausser IKT) - Fachkraft","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","61112, 71302","71302",61122,"4311, 3322","3323, 5223",4311,NA,6,7,NA,4,3,1133
"51311","9333","51311","9333",51311,9321,"[51311] Lagerwirtschaft - Helfer","[9321] Verpacker","51311","51311",NA,"9321","9321",NA,5,5,5,9,9,9,1134
"25104","2144","25104","2144",27394,1321,"[27394] Fuehrung- Techn.Produktionsplan.,-steuer.","[1321] Führungskräfte in der Produktion bei der Herstellung von Waren","41393","41393",NA,"2145","2145",NA,2,4,4,2,2,2,1135
"25104","2144","25104","2144",25214,2144,"[25214] Kraftfahrzeugtechnik - Experte","[2144] Maschinenbauingenieure","25214","24593, 25214",25214,"2144","2144",NA,2,2,2,2,2,2,1136
"11101","9213","11101","9213",11102,6130,"[11102] Landwirtschaft (o.S.) - Fachkraft","[6130] Landwirte mit Ackerbau und Tierhaltung (ohne ausgeprägten Schwerpunkt)","11102","11102",NA,"6130","6130",NA,1,1,1,9,6,6,1137
"81454","2212","81454","2212",81454,2212,"[81454] Fachaerzte Anaesthesiologie - Experte","[2212] Fachärzte","81454","81454",NA,"2212","2212",NA,8,8,8,2,2,2,1138
"71303","4322","71302","4322",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"4120","4110",4110,7,7,7,4,4,4,1139
"71302","4322","71302","4322",72212,4311,"[72212] Buchhaltung - Fachkraft","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","72112","72112",NA,"4214, 3312","4312",4311,7,7,7,4,4,4,1140
"61122","4311","61122","4311",61122,3322,"[61122] Vertrieb (ausser IKT) - Fachkraft","[3322] Vertriebsagenten","61122","61122",NA,"3322","3322",NA,6,6,6,4,3,3,1141
"27393","3122","27393","3122",27314,2141,"[27314] Technische Qualitaetssicherung - Experte","[2141] Wirtschafts- und Produktionsingenieure","27313","27393",27314,"1321","2144",2144,2,2,2,3,1,2,1142
"25213","3115","25213","3115",25212,7231,"[25212] Kraftfahrzeugtechnik - Fachkraft","[7231] Kraftfahrzeugmechaniker und -schlosser","25212","25212",NA,"7231","7231",NA,2,2,2,3,7,7,1143
"62302","5223","62302","5223",62194,1120,"[62194] Fuehrung - Verkauf","[1120] Geschäftsführer und Vorstände","62302","62302",NA,"5223, 5221","5221",5221,6,6,6,5,5,5,1144
"81102","3256","81102","3256",81102,3256,"[81102] Medizin. Fachangestellte (oS)-Fachkraft","[3256] Medizinische Assistenten","81102","81102",NA,"3256","3256",NA,8,8,8,3,3,3,1145
"94114","2652","94114","2652",94114,2652,"[94114] Musiker/innen - Experte","[2652] Musiker, Sänger und Komponisten","94114","94114",NA,"2652","2652",NA,9,9,9,2,2,2,1146
"71394","1213","71394","1213",43394,1330,"[43394] Fuehrung-IT-Netzw.,-Koord.,-Admin.,-Orga.","[1330] Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie","26393","26393",NA,"1321","1330",1330,7,2,2,1,1,1,1147
"NA","NA","NA","NA",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2330","2330",NA,NA,8,8,NA,2,2,1148
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",43194,1330,"[43194] Fuehrung - Informatik","[1330] Führungskräfte in der Erbringung von Dienstleistungen im Bereich Informations- und Kommunikationstechnologie","43194","43194",NA,"2510","2511",2511,NA,4,4,NA,2,2,1149
"NA","NA","NA","NA",34193,3112,"[34193] Aufsicht - Gebaeudetechnik","[3112] Bautechniker","34102","34193",34193,"3112","3112",NA,NA,3,3,NA,3,3,1150
"NA","NA","NA","NA",41322,3111,"[41322] Chemisch-techn. Laboratorium - Fachkraft","[3111] Chemo- und Physikotechniker","41322","41322",NA,"3111","3111",NA,NA,4,4,NA,3,3,1151
"27224","2149","27223","3119",27224,2144,"[27224] Konstruktion und Geraetebau - Experte","[2144] Maschinenbauingenieure","27224","27224",NA,"2149","2144",2144,2,2,2,2,2,2,1152
"NA","NA","NA","NA",73252,3342,"[73252] Justizverwaltung - Fachkraft","[3342] Sekretariatsfachkräfte im juristischen Bereich","73252","73252",NA,"3411, 3342","3342",3342,NA,7,7,NA,3,3,1153
"NA","NA","NA","NA",61122,3322,"[61122] Vertrieb (ausser IKT) - Fachkraft","[3322] Vertriebsagenten","73204","73204",NA,"2422","3322",3322,NA,7,7,NA,2,3,1154
"NA","NA","NA","NA",71493,3341,"[71493] Aufsicht - Buero- und Sekretariat","[3341] Sekretariatsleiter","71493","71493",NA,"3341","3341",NA,NA,7,7,NA,3,3,1155
"72212","4313","72212","4313",72213,4313,"[72213] Buchhaltung - Spezialist","[4313] Bürokräfte in der Lohnbuchhaltung","72213","72213",NA,"4313","4313",NA,7,7,7,4,4,4,1156
"71394","1213","71394","1213",62194,1420,"[62194] Fuehrung - Verkauf","[1420] Führungskräfte in Groß- und Einzelhandel","62194","62194",NA,"1420","1420",NA,7,6,6,1,1,1,1157
"43414","2512","43414","2512",43413,3512,"[43413] Softwareentwicklung - Spezialist","[3512] Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie","43412","43413",43413,"2512, 3512","3512",3512,4,4,4,2,2,3,1158
"71394","1213","71394","1213",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1321",1321,7,7,7,1,1,1,1159
"NA","NA","NA","NA",72213,3313,"[72213] Buchhaltung - Spezialist","[3313] Nicht akademische Fachkräfte im Rechnungswesen","72213","72213",NA,"3313","3313",NA,NA,7,7,NA,3,3,1160
"NA","NA","NA","NA",72123,3311,"[72123] Anlageberater, Finanzdienstl.-Spezialist","[3311] Wertpapierhändler, -makler und Finanzmakler","72123","72123",NA,"3311","3311",NA,NA,7,7,NA,3,3,1161
"81634","2634","81634","2634",81634,2634,"[81634] Nicht aerztliche Psychotherapie - Experte","[2634] Psychologen","81634","81634",NA,"2634","2634",NA,8,8,8,2,2,2,1162
"NA","NA","NA","NA",26293,7411,"[26293] Aufsicht - Energietechnik","[7411] Bauelektriker und verwandte Berufe","71394","71394",NA,"1213, 1219","1321",1211,NA,7,7,NA,1,1,1163
"82312","5141","82312","5141",82312,5141,"[82312] Friseurgewerbe - Fachkraft","[5141] Friseure","82312","82312",NA,"5141","5141",NA,8,8,8,5,5,5,1164
"NA","NA","NA","NA",83111,5311,"[83111] Kinderbetreuung, -erziehung - Helfer","[5311] Kinderbetreuer","83111","83111",NA,"5311","5311",NA,NA,8,8,NA,5,5,1165
"34102","5153","34102","5153",34102,5153,"[34102] Gebaeudetechnik (o.S.) - Fachkraft","[5153] Hauswarte","34102","34102",NA,"5153","5153",NA,3,3,3,5,5,5,1166
"NA","NA","NA","NA",72294,1211,"[72294] Fuehrung-Rechnungsw.,Controlling,Revision","[1211] Führungskräfte im Bereich Finanzen","72294","72294",NA,"1211, 3313","1211",1211,NA,7,7,NA,1,1,1167
"62194","1420","62194","1420",62194,5222,"[62194] Fuehrung - Verkauf","[5222] Verkaufsaufsichtskräfte in Handelsgeschäften","62194","62194",NA,"5222","5222",NA,6,6,6,1,5,5,1168
"NA","NA","NA","NA",93303,7119,"[93303] Kunsthandwerk,bild.Kunst (oS)-Spezialist","[7119] Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt","34102","34102",NA,"5153","7119",7119,NA,3,3,NA,5,7,1169
"NA","NA","NA","NA",51312,9321,"[51312] Lagerwirtschaft - Fachkraft","[9321] Verpacker","51312","51312",NA,"9321","9321",NA,NA,5,5,NA,9,9,1170
"NA","NA","NA","NA",94114,2652,"[94114] Musiker/innen - Experte","[2652] Musiker, Sänger und Komponisten","94114","94114",NA,"2652","2652",NA,NA,9,9,NA,2,2,1171
"NA","NA","NA","NA",62112,5230,"[62112] Kassierer, Kartenverkaeufer - Fachkraft","[5230] Kassierer und Kartenverkäufer","62112","62112",NA,"5230","5230",NA,NA,6,6,NA,5,5,1172
"72122","3311","72122","3311",72194,1346,"[72194] Fuehrung-Versicherung-,Finanzdienstleist.","[1346] Führungskräfte auf Filialebene in der Erbringung von Finanz- und Versicherungsdienstleistungen","72123","72194",72194,"1346","1346",NA,7,7,7,3,1,1,1173
"NA","NA","NA","NA",62212,5221,"[62212] Verkauf (Bekleid.,Leder,Sport)-Fachkraft","[5221] Leiter eines Einzelhandelsgeschäftes","62212","62194, 62212",62212,"1120","5223",5221,NA,6,6,NA,1,5,1174
NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,NA,NA,1175
"25104","2144","25104","2144",41314,2145,"[41314] Chemie- und Pharmatechnik - Experte","[2145] Chemieingenieure","41314","41314",NA,"2145","2145",NA,2,4,4,2,2,2,1176
"51311","9333","51311","9333",51311,9321,"[51311] Lagerwirtschaft - Helfer","[9321] Verpacker","51311","51311",NA,"9321","9321",NA,5,5,5,9,9,9,1177
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73222","3344",73222,3344,"[73222] Verw. Sozial-,Gesundheitswes. -Fachkraft","[3344] Sekretariatsfachkräfte im Gesundheitswesen","73222","73222",NA,"3344, 4226","3344",3344,NA,7,7,NA,3,3,1178
"71403","3343","71403","3343",71402,4120,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4120] Sekretariatskräfte (allgemein)","71402","71402",NA,"3343, 4120","4120",4120,7,7,7,3,3,4,1179
"NA","NA","NA","NA",63222,4224,"[63222] Hotelservice - Fachkraft","[4224] Hotelrezeptionisten","63221","63221",NA,"5131","4224",4224,NA,6,6,NA,5,4,1180
"61124","2433","61123","3322",61194,1221,"[61194] Fuehrung - Einkauf  und Vertrieb","[1221] Führungskräfte in Vertrieb und Marketing","61194","61194",NA,"1221","1221",NA,6,6,6,2,1,1,1181
"34212","7126","34293","3123",34293,7126,"[34293] Aufsicht-Klemp.Sanitaer,Heizung,Klimatech","[7126] Bauspengler und Sanitär- und Heizungsinstallateure","34212","34293",34293,"7126","7126",NA,3,3,3,7,7,7,1182
"51321","9621","51321","9621",51321,9621,"[51321] Post- und Zustelldienste - Helfer","[9621] Boten, Paketauslieferer und Gepäckträger","51321","51321",NA,"9621","9621",NA,5,5,5,9,9,9,1183
"71424","2643","71424","2643",71424,2643,"[71424] Dolmetscher, Uebersetzer - Experte","[2643] Übersetzer, Dolmetscher und andere Linguisten","71424","71424",NA,"2643","2643",NA,7,7,7,2,2,2,1184
"81484","2212","81484","2212",81404,2211,"[81404] Aerzte/Aerztinnen (o.S.) - Experte","[2211] Allgemeinärzte","81404","81404",NA,"2211","2211",NA,8,8,8,2,2,2,1185
"32102","7111","32102","7111",32102,7111,"[32102] Hochbau (o.S.) - Fachkraft","[7111] Rohbaufacharbeiter im Hochbau","32102","32102",NA,"9310","7111",7111,3,3,3,7,9,7,1186
"26212","7411","26212","7411",26212,7411,"[26212] Bauelektrik - Fachkraft","[7411] Bauelektriker und verwandte Berufe","26212","26212",NA,"7411","7411",NA,2,2,2,7,7,7,1187
"84124","2330","84124","2330",84124,2300,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2300] Lehrkräfte","84124","84124",NA,"2300, 2330","2300",2300,8,8,8,2,2,2,1188
"NA","NA","NA","NA",1402,310,"[1402] Angeh. regulaere Streitkraefte sonst.Raenge","[310] Angehörige der regulären Streitkräfte in sonstigen Rängen","1402","1402",NA,"310","410",310,NA,1,1,NA,3,4,1189
"71303","4322","71302","4322",51312,4321,"[51312] Lagerwirtschaft - Fachkraft","[4321] Fachkräfte in der Lagerwirtschaft","51312","51312",NA,"4321","4321",NA,7,5,5,4,4,4,1190
"NA","NA","NA","NA",72112,4312,"[72112] Bankkaufleute - Fachkraft","[4312] Bürokräfte in der Statistik, im Finanz- und Versicherungswesen","72112","72112",NA,"4211, 4312","4312",4312,NA,7,7,NA,4,4,1191
"73212","3353","73212","3353",73212,3353,"[73212] Sozialverwaltung,-versicherung-Fachkraft","[3353] Fachkräfte in Sozialverwaltung und -versicherung","73212","73212",NA,"3353","3353",NA,7,7,7,3,3,3,1192
"NA","NA","NA","NA",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,NA,7,7,NA,1,1,1193
"81634","2634","81634","2634",81634,2634,"[81634] Nicht aerztliche Psychotherapie - Experte","[2634] Psychologen","81634","81634",NA,"2634","2634",NA,8,8,8,2,2,2,1194
"81302","3221","81313","3221",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,8,8,8,3,3,3,1195
"NA","NA","NA","NA",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"4110","4110",NA,NA,7,7,NA,4,4,1196
"71402","4110","71402","4110",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"3343","4110",4110,7,7,7,4,3,4,1197
"NA","NA","NA","NA",42142,3111,"[42142] Meteorologie - Fachkraft","[3111] Chemo- und Physikotechniker","42142","42142",NA,"3111","3111",NA,NA,4,4,NA,3,3,1198
"11102","6130","11102","6130",11212,6121,"[11212] Nutztierhaltung - Fachkraft","[6121] Nutztierhalter (ohne Geflügel) und Milchproduzenten","11102","11102",NA,"6130","6130",NA,1,1,1,6,6,6,1199
